Reference,Value,Footprint,Qty
"C1,C8,C16",2.2nF,805,3
"C2,C12,C13",100nF,805,3
C3,OC,805,1
,,,
"C6,C7,C11",2.2uF,-- mixed values --,3
"C10,C14,C37,C45",10u,Capacitor_SMD:C_1210_3225Metric,4
"C15,C18,C20,C22,C27",1uF,-- mixed values --,5
"C17,C26,C30,C31,C33,C39,C42,C44",100n,805,8
"C19,C23,C25,C32,C35",2.2u,Capacitor_SMD:C_2220_5750Metric,5
C21,100pF,Capacitor_SMD:C_1206_3216Metric,1
C24,220pF,Capacitor_SMD:C_1206_3216Metric,1
C28,100p,805,1
C29,470p,805,1
C34,220p,805,1
C36,10n,805,1
R1,12k,805,1
R2,18k,805,1
R3,12R,805,1
"R4,R7,R10,R17",10k,805,4
R5,180k,805,1
R6,240k,805,1
"R11,R14",0R,805,2
"R12,R16,R26",4.7k,805,3
"R13,R30",100k,805,2
R15,0R,805,1
R18,160k,805,1
R19,47R,805,1
R20,220R,805,1
R21,1.2k,805,1
R22,360R,1206,1
R23,182R,1206,1
R24,365R,1206,1
"R25,R28",25R,805,2
"R27,R29",22k,805,2
R31,8.2k,805,1
R32,1k,805,1
R33,200k,805,1
R34,27k,805,1
